session_id,source_group,arc_cluster,returned
Human_Astro::conversation_3165061_2487.csv::s12,baseline_returned,1,True
Human_Astro::conversation_3165061_2487.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3165061_2487.csv::s3,baseline_returned,0,True
Human_Astro::conversation_3165061_2487.csv::s4,baseline_returned,3,True
Human_Astro::conversation_3165061_2487.csv::s5,baseline_returned,0,True
Human_Astro::conversation_3165061_2487.csv::s6,baseline_returned,3,True
Human_Astro::conversation_3165061_2487.csv::s7,baseline_returned,3,True
Human_Astro::conversation_3165061_2487.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3165061_2487.csv::s9,baseline_returned,2,True
Human_Astro::conversation_3217935_1737.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s3,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s4,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3217935_1737.csv::s8,baseline_returned,3,True
Human_Astro::conversation_3233283_1873.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s10,baseline_returned,2,True
Human_Astro::conversation_3233283_1873.csv::s2,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s3,baseline_returned,2,True
Human_Astro::conversation_3233283_1873.csv::s4,baseline_returned,0,True
Human_Astro::conversation_3233283_1873.csv::s5,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s6,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s7,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s8,baseline_returned,1,True
Human_Astro::conversation_3233283_1873.csv::s9,baseline_returned,2,True
Human_Astro::conversation_3258729_2041.csv::s1,baseline_returned,1,True
Human_Astro::conversation_3258729_2041.csv::s10,baseline_returned,1,True
